Summary,Assignee,Reporter,Issue Type,Priority,Description,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Add error handling for /newspanel endpoint",brodanoel,eerkmen,Development,Highest,"Right now we're not doing any error handling and this crashes the project. Let's add some error handling in `api/articles.js`

---
Moved from MAARK/mar-mfs-mlive#14
/cc @Emre Erkmen
","03/Jul/18 12:01 pm; brodanoel; @Emre Erkmen what do you think we should do here if the call fails?
Retry in a few seconds? Show an error message?

My idea is:
* When the user opens the page, show a `Loading` spinner. If the call to fill the data for the first time fails, just try again in 5 seconds.
* If there are data already loaded, and the endpoint fails when trying to update that data, just do nothing. It'll try again automatically in 2 minutes.","09/Jul/18 9:48 am; eerkmen; @Noel Broda sorry didn't see your comment until too late. Your approach is exactly right, let's do that after we've done all the porting. We may need to user this approach with the events as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shared screens should hide or display the screen switching icons based on the share link type",brodanoel,eerkmen,Development,Highest,"* If a user comes with a link for “All Screens” then the screens should switch automatically
* Every other link should just statically display for whatever screen it is generated for. In that case, the top right icons for the screens should be hidden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data: Some Sprinklr images give a 403",,mvanderhyde,Development,Highest,"Via https://maark.slack.com/archives/G5FKQLU8L/p1533055061000373

---

Some of the images returned from sprinklr give out a `403 Forbidden` error, that’s the reason some posts are missing some images. Example: https://scontent.cdninstagram.com/t51.2885-15/26072403_1802910726668596_2448167668373520384_n.jpg. We should ask Sprinklr about this.","31/Jul/18 1:17 pm; mvanderhyde; @Rich Wagner @Emre Erkmen assume one of you guys are doing this? Make sure I'm copied.","31/Jul/18 3:52 pm; eerkmen; @Mark Van Der Hyde CCd.","01/Aug/18 9:54 am; rwagner; this is an issue with data we are getting from Sprinklr. Here is latest email sent: 


Rishi,
 
I just wanted to follow up on the issue we discovered yesterday with Instagram profile image URLs that are returned from reports/query. The URLs provided by the Sprinklr API for the rows[x].senderProfile.profileImageUrl are not valid URLs. Here are four examples from the curl query that Emre provided yesterday (and is shown below):
 
https://scontent.cdninstagram.com/t51.2885-19/11324485_1613298918919753_130699154_a.jpg => Access Denied
https://igcdn-photos-d-a.akamaihd.net/hphotos-ak-xaf1/t51.2885-19/11358976_1595973800653803_1438741212_a.jpg => Invalid URL
https://instagramimages-a.akamaihd.net/profiles/profile_231214816_75sq_1399636553.jpg => Access Denied
https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-19/11326039_1623260114595402_445003815_a.jpg => Access Denied
 
The profile image URL is data that we are relying on in our presentation of these posts.
 
Request: See below inline
Full JSON Response: https://www.dropbox.com/s/agw74wovj5xnms9/sample-response.json?dl=0
 
What is the best way to get this issue resolved ASAP?
 
Thanks much for your attention to this matter.
 
Regards,
Rich Wagner
 ","03/Aug/18 6:09 am; eerkmen; @Rich Wagner @Mark Van Der Hyde I think they have finally solved the issue by **NOT** sending us a `profileImageUrl` at all for instagram posts anymore.

![image](https://user-images.githubusercontent.com/1096880/43637578-3627b4f8-971e-11e8-8882-b84935bae033.png)

So, the only solution right now would be to create an Instagram app and use it's credentials to query Instagram for the profile image URLs. This will be time consuming both on our part as development time and as server time as we will have to query Instagram API for every profile we got.","03/Aug/18 8:36 am; mvanderhyde; @Emre Erkmen thanks. I think instagram is retiring their API anyway so it would be a wash. @Alan Humphrey @Rich Wagner and I can chat with the client on that.","03/Aug/18 11:09 am; rwagner; @Mark Van Der Hyde @Alan Humphrey Seems like this issue needs to be brought up with Marriott to then deal with with Sprinklr. The fact that they actually do not provide a profile image for Instagram would have factored into our evaluation of them. The lack of a profile image will impact our design for those posts. ","03/Aug/18 12:33 pm; ahumphrey; @Rich Wagner we can bring up with Aynat on our status call this afternoon. Spoke about this with @Mark Van Der Hyde earlier and sounds like the only solution we have is to not show the avatar image for IG posts? Or are you saying that Sprinklr should be able to provide this and they've just removed from what they're sending us rather than trying to solve the issue on their end (hence escalation needed)?","03/Aug/18 12:39 pm; rwagner; Yeah, that was one of the data points that we looked for during evaluation period since we were planning to display profile images for Instagram posts. And it showed up in the results, hence we assumed that it would be something available and useable. 

One note however on whether Sprinklr did or did not change that. I am not sure that they actually removed that data point in response to our request. I just tried a query and was able to get that: 

```
   'profileImgUrl': 'https://scontent.cdninstagram.com/t51.2885-19/11324485_1613298918919753_130699154_a.jpg',
``` 
However, this still gives us an error like before. 

My guess is that Emre got back several posts that do not have those values (which i have seen before as well). 

To sum up, we are certain that we are not getting those data points for Sprinklr - they are either blank or invalid. We are uncertain whether or not sprinklr changed anything or whether it is just like it was.  
","03/Aug/18 3:43 pm; ahumphrey; @Rich Wagner brought this issue up with the client on status and they are in agreement, the profile image and main image is something we need and is expected of Sprinklr. As a next step, perhaps you could loop back with the main tech contact at Sprinklr and let them know we've previewed a beta with the client, and the IG image issue is something we need resolved ASAP per your last note. Please CC the following folks from Marriott and then they will weigh in:
Aynat - Aynat.Ravin@marriott.com
Sandra - Sandra.Pimentel@marriott.com
Sarah - sarah.bradley@marriott.com

BTW, Aynat said to thank everyone on our team at Maark for all of our hard work!! I don't think the Sprinklr team are getting the same message...","03/Aug/18 3:59 pm; rwagner; Sent tracer message to Rishi, cc'ing the people above. ","04/Aug/18 8:07 am; eerkmen; @Rich Wagner, @Alan Humphrey, there is one more missing field from some of the Instagram accounts, which is 'name'. We get the screen names for all of the accounts but not the names for some of them.

Positive Sample: https://www.instagram.com/kjelvina/

Name: Kristian Elviña (exists in the profile)

Data:

```
'senderProfile': {
    'snType': 'INSTAGRAM',
    'age': 0,
    'snId': '16670829',
    'name': 'Kristian Elvina',
    'screenName': 'kjelvina',
    'subType': '',
    'following': 0,
    'followers': 0,
    'favCount': 0,
    'statusCount': 0,
...
```

Negative Sample: https://www.instagram.com/cloefrankish/

Name: Cloe May Frankish (exists in the profile)

Data:

```
'senderProfile': {
    'snType': 'INSTAGRAM',
    'age': 0,
    'snId': 'cloefrankish',
    'screenName': 'cloefrankish',
    'subType': '',
    'following': 0,
    'followers': 0,
    'favCount': 0,
    'statusCount': 0,
    'permalink': 'https://instagram.com/cloefrankish',
    'createdTime': '0',
```

We show it just below the username in the post cards:

![image](https://user-images.githubusercontent.com/1096880/43676349-0e510454-97f8-11e8-8b4c-e550f5c7e7b9.png)

","13/Aug/18 1:45 pm; mvanderhyde; Insta removed, backlogging",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charts: Look in to how to handle larger resolutions",,mvanderhyde,Development,Highest,"RIght now these just get long. @Brian Weaver to provide feedback on how these should look.

<img width='1637' alt='screen shot 2018-08-02 at 12 41 59 pm' src='https://user-images.githubusercontent.com/2657330/43598220-2dc66fd8-9652-11e8-925f-335447c1ae8e.png'>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data View Screen UI Update for Current Events",admin,ahumphrey,Development,Highest,"Hey guys. With Instagram being removed from the dashboards, the UI updates are very minor for the current events screens (mostly just removing the IG logos which I can post to dev in a separate ticket). 

Only thing that needs a quick look is the Data View screen (page 3 of the attached PDF). We be removing  the `IG comments` chart, so down to three charts. @michaeledowd is going to look at the data points we're getting for Twitter through Sprinklr to see if there's something else we can add in. Otherwise, @Alex Carr @Brian Weaver I'm assuming we extend one of the charts to the full width right (assuming the top row)?

[06-01-01_Dashboard_Event_ExecDashboard copy.pdf](https://github.com/MAARK/mar-mlive-dashboard/files/2267715/06-01-01_Dashboard_Event_ExecDashboard.copy.pdf)","08/Aug/18 10:39 am; bweaver; @Alan Humphrey @Alex Carr  I was just thinking, we could extend the chart that we think should have the most prominence and/or would have the most activity to fill the left column and the other two on the top and bottom right, like this:

![image](https://user-images.githubusercontent.com/6143533/43844250-43e41d34-9af7-11e8-8425-5415e9185717.png)

Just another idea of how to handle the three charts","08/Aug/18 11:18 am; ahumphrey; Thanks for mocking up @Brian Weaver. I'll defer to you guys in terms of UI layout but think this could work well. I was going to ask the client if they had a chart they wanted to be the main focus, but your point about the most active one makes sense for data viz standpoint. @michaeledowd do we think that would be 'Likes'? Would like to make a recommendation to Aynat/Matthew. Thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Events: Weekly Activity card should be same height as Volume of Online Conversation",bweaver,bweaver,Development,Highest,"When the browser is full width, the Weekly Activity card stays the same height, while the Volume of Online Conversation card scales vertically. Weekly Activity should scale in the same way.

![image](https://user-images.githubusercontent.com/6143533/44100198-8027c54c-9fb2-11e8-8e75-023755324fc7.png)
","14/Aug/18 3:02 pm; brodanoel; Deployed!","14/Aug/18 3:08 pm; bweaver; @Noel Broda can the actual chart scale vertically as well? I figure that's probably a lot more work, but just wondering because now we have a big empty space below the chart","14/Aug/18 3:14 pm; brodanoel; @Brian Weaver I just tried to fix it but seems like it's not an easy win. It's a change in CSS. We'll have to research in the Chart library to understand how to do it.
I can do it, but due to it can take more time than expected, I'll leave it at the bottom of the list.
What do you think?","14/Aug/18 3:14 pm; bweaver; @Noel Broda ok yeah, that's what I figured, so we can push that down in the priority list","27/Aug/18 10:02 pm; brodanoel; @Brian Weaver Yesterday and Today I spent a lot of time trying to implement this.
Seems like the library that we are using doesn't allow us to create charts responsive in width and height.
We can set the responsive behavior only in width or height.
Currently, we use the 100% of width, so the height should be fixed.
Do to height is fixed, we can not set a dynamic value to make it responsive.

For the records: more info about this library in http://recharts.org/en-US/api/ResponsiveContainer","27/Aug/18 10:07 pm; brodanoel; Something that we can do here is tracking the browser size change event and change the fixed height value dynamically.
That's going to take a lot of time due to we'll have a create some kind of hardcoded rule like: 'For resolution 1400px, set 200px, for resolution 1450px, set 205px, for resolution 1500px, set 210px... etc', and we should re-draw the Chart every time the resolution change.
That's a lot of work and that is a behavior that may be really buggy.

What do you think about postponing this behavior after having done all the behavior that we have to get done for the next release?","28/Aug/18 8:06 am; bweaver; @Noel Broda yeah, I think we'll have to postpone that behavior, especially if the library you're using doesn't have that capability and you'd have to accomplish it with some workaround","13/Sep/18 5:45 pm; brodanoel; @Brian Weaver there is no way to change the animation with this library.
But, what I can do, is changing the animation duration. Currently, it's taking 1 second.
It may improve a bit changing it to 0.5sec","02/Oct/18 3:01 pm; brodanoel; @Brian Weaver I just finished fixing the 'same height' behavior.
Show the Chart is filling the whole card.
Here an example with a really huge resolution:

<img width='1433' alt='screen shot 2018-10-02 at 16 01 20' src='https://user-images.githubusercontent.com/1837969/46370636-75c5fa80-c65c-11e8-81f8-b254054d4a4c.png'>
","02/Oct/18 3:11 pm; bweaver; @Noel Broda Nice! that looks great. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Events: Have to refresh to see newly created event",mvanderhyde,mvanderhyde,Development,Highest,"RIght now after the event is created the modal goes away event doesn't show until you manually refresh","17/Aug/18 12:55 pm; brodanoel; Ok, it's implemented, but you have to wait for a while because the 'event creation' is a process that takes a couple of seconds.

I'll be good to add a 'loading spinner' so the user can know that he have to wait.
","22/Aug/18 1:18 pm; eerkmen; @Mark Van Der Hyde are we happy with the current implementation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use mar-mfs-social to get owned tweets",eerkmen,eerkmen,Development,Highest,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Metrics Available from Sprinklr API (Owned & Earned Screens)",,ahumphrey,Development,Highest,"@Rich Wagner @Emre Erkmen as we shift our attentions back to the remaining screens I connected with @michaeledowd regarding a couple of the data points in earned and owned screens. Can you connect with your Sprinklr tech contacts to find out the following:
1. Do they have an `Engagement Rate` metric we could use for the earned & owned screen score (with fire icon - see below). This score is meant to signify how well followers engage with their posts/content. Ideally this would include historical posts and not just the individual post we are displaying.
![image](https://user-images.githubusercontent.com/35970545/44671836-9616ef80-a9f4-11e8-9adc-1415c2fff72a.png)

2.  If they don't have `Engagement Rate` as a metric, do they have any recommendations for a comparable metric with can use for owned/earned? @michaeledowd found they have an `Influencer Score` that looks like it might provide another option for the Earned dashboard. If so, could we get details on how they calculate this?

3. Also, can you confirm whether we can pull metrics for the entire history of a Twitter user. For example: Total number of tweets a user has made; Total number of likes received for all posts; Total number of retweets they've received for all posts; Total Reach of all their posts and Average Tweets per day?

If we could get an answer on this early this week that would be ideal, as it may impact the metrics we show on a couple of the widgets. Thanks and let me know if you have any follow up questions.","31/Aug/18 8:56 am; eerkmen; Update: Asked to Sprinklr, haven't got any response yet.","31/Aug/18 10:51 am; ahumphrey; Thanks for the update @Emre Erkmen. If you haven't heard from them by Tuesday next week, let me know and I will escalate with Marriott again.","03/Sep/18 7:55 am; eerkmen; @Alan Humphrey, @michaeledowd  they've responded back:

> Sprinklr applies an Influencer Score to universal profiles that are pulled into Sprinklr Listening. Sprinklr's Influencer score ranges from 1 to 100, from lowest to highest level of influence, and is calculated through indicators like followers and status count, and is adjusted through machine learning. Influencer Score can be applied as a filter in Listening Dashboards, in Listening widgets, and in Listening Themes. Additionally, you can configure Listening widgets using specific dimensions to capture data on Influencer Score.

> Insight into the influence of users allows you to identify the most influential users as you analyze data. You may want to use the Influencer Score to help measure the success of campaigns based on the number of influential profiles you reached, to find the best brand advocates, or to ensure that your Customer Care team is prioritizing top influencers.

I'm seeing the influencer score > 0 for 25847 out of 35163 total profiles. (73%) So I guess we can use that with some confidence.
 
https://help.sprinklr.com/Knowledge_Base/User_Guide/Engagement/Engagement_Guides/Sprinklr_Influencer_Score#FAQ","04/Sep/18 8:12 am; ahumphrey; @Emre Erkmen thanks for the update. Sounds like using Sprinklr's `Influencer Score` metric for the Earned Dashboard makes sense, unless you disagree @michaeledowd ?

For the Owned Dashboard score I have a ticket open for that (#212) for @michaeledowd to provide the calculation for dev to use @Emre Erkmen ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design updates to Earned, Owned & Segmentation screens",bweaver,ahumphrey,Development,Highest,"Hey @Brian Weaver. I went through the full collect of screen designs you pulled together and have some tweaks based on client feedback. 
[MAR_M-Live-Dashboard_VisualDesign_2.2.pdf](https://github.com/MAARK/mar-mlive-dashboard/files/2325245/MAR_M-Live-Dashboard_VisualDesign_2.2.pdf)

In addition to what is marked up on the attached PDF, we will need to bring back settings/filtering screens for Earned and Owned. Here's what we will need to factor in based on client requirements:
**Owned Screen settings/filtering**
- Owned brand channels (i.e. @marriottrewards or @WHotels etc.)
- Social networks (Twitter or Instagram)
- Date range
- Languages (if possible)

**Earned Screen settings/filtering**
- Keywords (may include keywords, hashtags)
- Date range
- Languages (if possible)

Before you make any of these updates I will set up a regroup with the internal team tomorrow so we can talk through this. It's been a while since we've worked on a few of these screens, so want to make sure we're all on the same page. If you're able to pull the most current version of the settings screens you did earlier on in the process, that may be a helpful aid for discussion tomorrow. Thanks","27/Aug/18 3:39 pm; bweaver; @Alan Humphrey thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
